Item Link,Brand,Title,Category,BSR,Monthly Revenue,Price,Unit Margin,Monthly Sales,Review Quantity,Review Rate,Average Rating,Sold By,Sales / Reviews,Date Listed,Net Profit,Outlier Reason,Images,New Offers,Used Offers,Height,Width,Length,Weight,Size Tier,ASIN,Last 12 Months Sales,Last 12 Months Revenue,Next 12 Months Sales,Next 12 Months Revenue
https://www.amazon.com/dp/B07GNL6C57,LOFBAZ,LOFBAZ Men's Hoodie Hippie Shirts Beach 100% Soft Cotton Top Yoga Shirt Boho - Solid Red - S,"Sports & Outdoors/Categories/Sports & Fitness/Exercise & Fitness/Yoga/Clothing/Men/Jackets & Hoodies & Sports & Outdoors/Categories/Sports & Fitness/Clothing/Men/Sweatshirts & Hoodies & Sports & Outdoors/Sports & Fitness Features & Clothing, Shoes & Jewelry/Departments/Men/Clothing/Active/Active Hoodies & Clothing, Shoes & Jewelry/Departments/Men/Clothing/Fashion Hoodies & Sweatshirts & Clothing, Shoes & Jewelry/Departments/Men/Shops",630195,$751.53,$15.99,$10.37,47,23,0.383,2.9,FBA,2.04,2018-08-20,$487.39,,"611s2MjutrL.jpg, 61JfD9f8-sL.jpg, 61vbU9yFOvL.jpg, 61R%2BR1IefML.jpg",,,1.2205in,7.0079in,7.4409in,0.2998lb,LargeStandardSize,B07GNL6C57,870,"$13,911.30",,
https://www.amazon.com/dp/B07GNKGC47,LOFBAZ,LOFBAZ Men's Hoodie Hippie Shirts Beach 100% Soft Cotton Top Yoga Shirt Boho - Solid Purple - S,"Sports & Outdoors/Categories/Sports & Fitness/Exercise & Fitness/Yoga/Clothing/Men & Sports & Outdoors/Categories/Sports & Fitness/Clothing/Men/Sweatshirts & Hoodies & Sports & Outdoors/Sports & Fitness Features & Clothing, Shoes & Jewelry/Departments/Men/Clothing/Active/Active Hoodies & Clothing, Shoes & Jewelry/Departments/Men/Clothing/Fashion Hoodies & Sweatshirts & Clothing, Shoes & Jewelry/Departments/Men/Shops",630195,$447.72,$15.99,$10.37,28,23,0.214,2.9,FBA,1.22,2018-08-20,$290.36,,"61MSw%2B9c6uL.jpg, 61F8vDi6NSL.jpg, 61MjEnnahdL.jpg, 61R%2BR1IefML.jpg",,,1.2205in,7.0079in,7.4409in,0.2998lb,LargeStandardSize,B07GNKGC47,869,"$13,895.31",,
https://www.amazon.com/dp/B07GNJCH4H,LOFBAZ,LOFBAZ Men's Hoodie Hippie Shirts Beach 100% Soft Cotton Top Yoga Shirt Boho - Solid Dark Grey - S,"Sports & Outdoors/Categories/Sports & Fitness/Exercise & Fitness/Yoga/Clothing/Men & Sports & Outdoors/Categories/Sports & Fitness/Clothing/Men/Sweatshirts & Hoodies & Sports & Outdoors/Sports & Fitness Features & Clothing, Shoes & Jewelry/Departments/Men/Clothing/Active/Active Hoodies & Clothing, Shoes & Jewelry/Departments/Men/Clothing/Fashion Hoodies & Sweatshirts & Clothing, Shoes & Jewelry/Departments/Men/Shops",630195,$943.41,$15.99,$10.37,59,23,0.153,2.9,FBA,2.57,2018-08-20,$611.83,,"61K20X-vDXL.jpg, 61m46RW52iL.jpg, 71c650iNeQL.jpg, 61R%2BR1IefML.jpg",,,1.2205in,7.0079in,7.4409in,0.2998lb,LargeStandardSize,B07GNJCH4H,,,,
https://www.amazon.com/dp/B07GNHSGT3,LOFBAZ,LOFBAZ Men's Hoodie Hippie Shirts Beach 100% Soft Cotton Top Yoga Shirt Boho - Solid Black - S,"Sports & Outdoors/Categories/Sports & Fitness/Exercise & Fitness/Yoga/Clothing/Men & Sports & Outdoors/Categories/Sports & Fitness/Clothing/Men/Sweatshirts & Hoodies & Sports & Outdoors/Sports & Fitness Features & Clothing, Shoes & Jewelry/Departments/Men/Clothing/Active/Active Hoodies & Clothing, Shoes & Jewelry/Departments/Men/Clothing/Fashion Hoodies & Sweatshirts & Clothing, Shoes & Jewelry/Departments/Men/Shops",630195,$783.51,$15.99,$10.37,49,23,0.184,2.9,FBA,2.13,2018-08-20,$508.13,,"61M6rkRAVLL.jpg, 6179Rc4z%2B0L.jpg, 61S0vz8jZZL.jpg, 61R%2BR1IefML.jpg",,,1.2205in,7.0079in,7.4409in,0.2998lb,LargeStandardSize,B07GNHSGT3,1039,"$16,613.61",,
https://www.amazon.com/dp/B07PWQWV2H,Alien Buddha Zen Yoga Clothing,Alien Yoga Meditation Buddha UFO Zen Cosmic Flower Of Life T-Shirt,"Clothing, Shoes & Jewelry/Departments/Women/Shops & Clothing, Shoes & Jewelry/Departments/Men/Shops & Clothing, Shoes & Jewelry/Departments/Girls & Clothing, Shoes & Jewelry/Departments/Boys & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Women & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Men/Shirts/T-Shirts & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Girls & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Boys",1070841,$323.82,$17.99,$12.07,18,1,0,5,AMZN,18,2019-03-23,$217.26,,"813jzZP5VyL.jpg, 71735wVHxxL.jpg",,,0.9843in,7.9921in,10in,0.2998lb,LargeStandardSize,B07PWQWV2H,,,,
https://www.amazon.com/dp/B01B2GK5ZU,Love Quality,"Men's Summer T-Shirt 100% Cotton Thai Hippie Shirt V-Neck Beach Yoga Top (XX-Large, Black)","Clothing, Shoes & Jewelry/Departments/Men/Shops & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Men/Shirts/T-Shirts",109957,"$3,102.93",$14.99,$9.51,207,368,0.348,3.6,FBA,0.56,2016-01-26,"$1,968.57",,"51oLqh4IJzL.jpg, 51joNrm7NQL.jpg, 51pGbd6YI%2BL.jpg, 51tVDVgfYzL.jpg, 51jdI6tIC3L.jpg",,,1.6142in,6.1811in,8.8189in,0.2491lb,LargeStandardSize,B01B2GK5ZU,4183,"$62,703.17",,
https://www.amazon.com/dp/B07Q4WZZXQ,I'd Rather Be Meditating T-Shirt Giftidea Teez,I'd Rather Be Meditating T-Shirt Funny Yoga Meditation Tee,"Clothing, Shoes & Jewelry/Departments/Women/Shops & Clothing, Shoes & Jewelry/Departments/Men/Shops & Clothing, Shoes & Jewelry/Departments/Girls & Clothing, Shoes & Jewelry/Departments/Boys & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Women/Tops & Tees/T-Shirts & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Men/Shirts/T-Shirts & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Girls/Tops & Tees/T-Shirts & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Boys/Tops & Tees/T-Shirts",997236,$101.70,$16.95,$11.19,6,1,0,5,AMZN,6,--,$67.14,,"71tOAHhrryL.jpg, 71735wVHxxL.jpg",,,0.9843in,7.9921in,10in,0.2998lb,LargeStandardSize,B07Q4WZZXQ,,,,
https://www.amazon.com/dp/B07VSG6TST,Spiritual Kundalini Yoga Meditation Gift Apparel,Yoga Meditation 7 Chakras Om Zen Namaste shirt Women Girl  T-Shirt,"Clothing, Shoes & Jewelry/Departments/Women/Shops & Clothing, Shoes & Jewelry/Departments/Men/Shops & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Women/Tops & Tees/T-Shirts & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Men/Shirts/T-Shirts",477643,$86.34,$14.39,$9.01,6,0,0,,AMZN,,--,$54.06,,71x2sLaJTvL.jpg,,,0.9843in,7.9921in,10in,0.2998lb,LargeStandardSize,B07VSG6TST,,,,
https://www.amazon.com/dp/0399588965,,Meditation for Fidgety Skeptics: A 10% Happier How-to Book,"Books/Subjects/Self-Help/Happiness & Books/Subjects/Self-Help/Success & Books/Subjects/Health, Fitness & Dieting/Alternative Medicine/Meditation",10073,"$3,501.81",$9.49,$3.07,369,250,0.106,4.3,AMZN,1.48,--,"$1,132.83",,71RmnCbVZ4L.jpg,,,0.7874in,5.1181in,7.9134in,0.549lb,LargeStandardSize,0399588965,5309,"$50,382.41",,
https://www.amazon.com/dp/B07PWTBH54,Yoga Meditation Chakra Tees,Chakras Shirt Yoga Meditation Sacred Geometry,"Clothing, Shoes & Jewelry/Departments/Women/Shops & Clothing, Shoes & Jewelry/Departments/Men/Shops & Clothing, Shoes & Jewelry/Departments/Girls & Clothing, Shoes & Jewelry/Departments/Boys & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Women/Tops & Tees/T-Shirts & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Men/Shirts/T-Shirts & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Girls/Tops & Tees/T-Shirts & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Boys/Tops & Tees/T-Shirts",1258129,$339.80,$16.99,$11.22,20,2,0,5,AMZN,10,2019-03-24,$224.40,,"71auFGdEuHL.jpg, 71735wVHxxL.jpg",,,0.9843in,7.9921in,10in,0.2998lb,LargeStandardSize,B07PWTBH54,,,,
